Tenor,M0.0833333333333333,M0.25,M0.5,M0.75,M1.0,M1.5,M2.0,M3.0,M4.0,M5.0,M7.0,M10.0,M15.0,M20.0,M25.0,M30.0
T1.0,0.005784875645009722,0.010620740144466675,0.014836936019884166,0.01781807234665405,0.018850522157989342,0.022877141400171892,0.023980477974902287,0.027248892728257697,0.027669505355102732,0.02442882394584413,0.02008261522966959,0.009037042985743553,0.008275536893941,0.01051780006246435,0.011053527658491826,0.016243376311745866
T2.0,0.006728426294003611,0.010790263427339191,0.014113038179955835,0.01645500884750475,0.01760522876838686,0.022682872007938927,0.027085924883026358,0.027635023644326646,0.024089709874197607,0.02323159892727801,0.016261094077044506,0.008447144945015967,0.007910489068603274,0.01085819819485098,0.010569150581035528,0.016549240086585287
T3.0,0.006387523562356908,0.010066888113977634,0.012945627326479237,0.015032271952566883,0.016096154919213106,0.021471394355927497,0.02382591437677807,0.024365096025119506,0.023640642329352254,0.022003643934473058,0.01441026439131562,0.007752634101874471,0.007561682447814769,0.011224468637312222,0.010734051094446431,0.015725300454341267
T4.0,0.005804070761403487,0.008694004278511741,0.011297003906433354,0.013247986297310301,0.016164930611088795,0.021769306080994325,0.022096470119992228,0.022252309707658343,0.022585584375423948,0.020045821998287767,0.012856643064014637,0.0075784555899481645,0.007742789686558658,0.011395995913641571,0.010733254055921565,0.015581275065050583
T5.0,0.005294128134024682,0.008280055214134639,0.010612343821177846,0.012884830267761048,0.014753048412930162,0.01795280134489139,0.020721124687696883,0.021335154719096267,0.020673990706574982,0.01683908820015514,0.012373326695777322,0.007111813993150494,0.0077932558886252765,0.0112344892639888,0.010954565178711226,0.015810211430674254
T6.0,0.0047665359104596215,0.00718117493217425,0.009990895847663769,0.011540572554452773,0.013340966815811433,0.016604811876765834,0.018426110376164397,0.020246848329708883,0.019604289016642414,0.015957765089460493,0.010862874897558253,0.007148157713782069,0.007910337073611119,0.011025030013319231,0.010982489074117946,0.015985473455949736
T7.0,0.004312801437640189,0.007021321248139498,0.009388513814789912,0.01132404420051374,0.01285604545906879,0.016327055388911545,0.017579679568367694,0.01886136713483203,0.016350178466767153,0.013893461122561065,0.010573845414897904,0.007113001543026609,0.007942809123687255,0.011125649974331447,0.011450366704769196,0.01600053013042658
T8.0,0.004228480706154128,0.006464804791514062,0.008698634249753116,0.010607717452676855,0.011950199387498821,0.015288661094672638,0.016548691587569143,0.017498830503118384,0.015045471980900406,0.012273506426577667,0.008684993176693039,0.007039057397442094,0.007993152588635517,0.010959327623210583,0.011521330851741233,0.016019213153392636
T9.0,0.004103910021009792,0.006701720266515674,0.009315943891031462,0.011172207064138278,0.012488661601981844,0.014452903271363669,0.016249099327010654,0.01467068546952343,0.013152973177276548,0.012383858316008604,0.008565520303009888,0.00687752223553664,0.008195198379213828,0.01092630020566021,0.011883077883537117,0.015933504793792005
T10.0,0.0039090142236209826,0.006587917212025237,0.008810411215077148,0.010032943739279574,0.012246101712724018,0.01344193738960087,0.015795796424380268,0.013921356655907735,0.011436534538183756,0.011482017413804314,0.00788121228869821,0.006796347929819414,0.00826913348783287,0.011068189572371382,0.012192375669046792,0.01581354530503211
T15.0,0.003702784597203572,0.00616227877861971,0.00731189152442163,0.008943896995627573,0.010063462671581293,0.011889021605743665,0.011687820235708584,0.011698655969625202,0.010530076539395002,0.009098692801621752,0.007630708105543306,0.006867559486346551,0.008214070616543688,0.010798357112720368,0.01262927517944474,0.016200788314258828
T20.0,0.0030475708812010716,0.005086520140083513,0.006792133051851315,0.008304422091197966,0.009048535250272093,0.009657743664497693,0.010020991456753624,0.010993891953182839,0.00937692590248214,0.007738372601997728,0.006785200721603629,0.00660448811331005,0.008512275117886372,0.010863594939583535,0.011624248849335142,0.01635870982027099
T25.0,0.0030069571746039426,0.0052393635432110225,0.007170268996607768,0.007933825403617846,0.008705933226059366,0.009276127687386858,0.00910168942043852,0.009679606847722391,0.008903925110229638,0.006867583301125465,0.006497904416746984,0.0073589180513312265,0.008968916728088364,0.011390458492112428,0.013072831820604444,0.01380737140131872
T30.0,0.002872902898189914,0.0049319829395880884,0.006950081953279817,0.008051453108653827,0.008148705005417593,0.009203816435857406,0.009679957674177076,0.008964957399093379,0.00824678114934729,0.007454885244346166,0.007098560561523802,0.0078013705164960935,0.009149716780990965,0.011649567770958335,0.010811509371944373,0.011545075668659774
